client_id,client_name,filing_status_normalized,engagement_status,prior_year_agi,prior_year_total_tax,safe_harbor_pct_applied,projected_total_tax,prong_90pct_current,prong_prior_year,required_annual_payment,governing_prong,expected_annual_withholding,ytd_withholding,has_withholding_lever,prior_overpayment_applied_forward,q1_required,q1_underpaid,q1_penalty,q2_required,q2_underpaid,q2_penalty,q3_required,q3_underpaid,q3_penalty,q4_required,q4_underpaid,q4_penalty,total_underpayment,penalty_accrued_as_of_data_date,projected_penalty_full_year,remedy,flags
C-1011,"Osei, Sylvia",MFJ,Active,85208.93,20581.43,1.0,18148.35,16333.515,20581.43,16333.51,90% current,12554.67,9467.46,yes,0.0,4083.38,0.0,0.0,4083.38,0.0,0.0,4083.38,0.0,0.0,4083.38,0.0,0.0,0.0,0.0,0.0,none needed,
C-1012,"Onyeka, Perpetua",Single,Active,396485.4,104200.0,1.1,71900.0,64710.0,114620.00000000001,64710.0,90% current,0,0,no,0.0,16177.5,12177.5,969.79,16177.5,16177.5,940.07,16177.5,16177.5,657.74,16177.5,16177.5,279.23,60710.0,893.67,2846.83,Q4 estimate only; Q1-Q3 exposure not curable,
C-1013,"Duffield, Camila",MFJ,Active,403963.06,116180.76,1.1,188400.0,169560.0,127798.83600000001,127798.84,prior year,22900.0,17200.0,yes,0.0,31949.71,0.0,26.45,31949.71,0.0,77.65,31949.71,6674.13,271.35,31949.71,26224.71,452.65,32898.84,124.58,828.1,increase withholding before 12/31 (retroactive across installments),
C-1014,"Whitmore, Greta",HOH,Active,234772.58,52845.38,1.1,62431.01,56187.909,58129.918000000005,56187.91,90% current,32235.68,24308.88,yes,0.0,14046.98,0.0,0.0,14046.98,0.0,0.0,14046.98,0.0,0.0,14046.98,0.0,0.0,0.0,0.0,0.0,none needed,
C-1015,"Sandoval, Reginald",HOH,Active,338091.25,73038.07,1.1,81830.41,73647.369,80341.87700000001,73647.37,90% current,44553.23,33597.51,yes,0.0,18411.84,0.0,0.0,18411.84,0.0,0.0,18411.84,0.0,0.0,18411.84,0.0,0.0,0.0,0.0,0.0,none needed,
C-1016,"Delacroix, Adaeze",Single,Terminated,165834.81,37866.15,1.1,39797.51,35817.759000000005,41652.76500000001,35817.76,90% current,0,0,no,0.0,8954.44,8954.44,626.81,8954.44,8954.44,520.34,8954.44,8954.44,364.07,8954.44,8954.44,154.56,35817.76,501.45,1665.77,Q4 estimate only; Q1-Q3 exposure not curable,EXCLUDE_terminated_engagement;REVIEW_projection_is_stale
C-1017,"Vasquez, Sunita",Single,Active,147900.0,35100.0,1.0,66200.0,59580.0,35100.0,35100.0,prior year,5100.0,3800.0,yes,0.0,8775.0,0.0,0.0,8775.0,0.0,0.0,8775.0,0.0,0.0,8775.0,5700.0,98.38,5700.0,0.0,98.38,increase withholding before 12/31 (retroactive across installments),
C-1018,"Halvorsen, Imani",MFJ,Active,142164.97,37260.55,1.0,36974.75,33277.275,37260.55,33277.28,90% current,0,0,no,0.0,8319.32,0.0,0.0,8319.32,0.0,0.0,8319.32,3355.28,136.42,8319.32,8319.32,143.59,11674.6,10.3,280.01,Q4 estimate only; Q1-Q3 exposure not curable,
C-1019,"Wexler, Bernard",Single,Active,359270.45,90665.81,1.1,104065.1,93658.59000000001,99732.391,93658.59,90% current,0,0,no,0.0,23414.65,23414.65,1639.03,23414.65,23414.65,1360.62,23414.65,23414.65,951.98,23414.65,23414.65,404.14,93658.59,1311.22,4355.77,Q4 estimate only; Q1-Q3 exposure not curable,
C-1020,"Marchetti, Odalys",MFJ,Active,41787.46,0.0,1.0,52052.55,46847.295000000006,0.0,0.0,prior year,0,0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_prior_year_zero_tax_liability
C-1021,"Dimitrov, Kiyoshi",MFJ,Active,173705.21,31318.98,1.1,38387.42,34548.678,34450.878000000004,34450.88,prior year,19104.58,14406.73,yes,0.0,8612.72,0.0,0.0,8612.72,0.0,0.0,8612.72,0.0,0.0,8612.72,0.0,0.0,0.0,0.0,0.0,none needed,
C-1022,"Achebe, Yvonne",Single,Active,147566.25,34031.27,1.0,44975.54,40477.986000000004,34031.27,34031.27,prior year,0,0,no,0.0,8507.82,776.55,54.36,8507.82,8507.82,494.39,8507.82,8507.82,345.91,8507.82,8507.82,146.85,26300.0,225.86,1041.5,Q4 estimate only; Q1-Q3 exposure not curable,
C-1023,"Ramaswamy, Ingrid",MFJ,Active,133023.4,23689.8,1.0,117897.14,106107.426,23689.8,23689.8,prior year,27343.66,19667.61,yes,0.0,5922.45,0.0,0.0,5922.45,0.0,0.0,5922.45,0.0,0.0,5922.45,0.0,0.0,0.0,0.0,0.0,none needed,
C-1024,"Novotny, Anouk",MFJ,Active,254090.36,59070.22,1.1,98600.0,88740.0,64977.242000000006,64977.24,prior year,0,0,no,0.0,16244.31,0.0,38.58,16244.31,6488.62,377.05,16244.31,16244.31,660.45,16244.31,16244.31,280.38,38977.24,221.57,1356.46,Q4 estimate only; Q1-Q3 exposure not curable,REVIEW_prior_year_not_filed_figures_are_estimates;REVIEW_projection_is_stale
C-1025,"Escalante, Rosalind",MFJ,Active,137888.86,29244.64,1.0,38277.02,34449.318,29244.64,29244.64,prior year,17839.23,13452.53,yes,0.0,7311.16,0.0,33.9,7311.16,0.0,22.82,7311.16,0.0,0.0,7311.16,2615.55,45.15,2615.55,56.73,101.87,increase withholding before 12/31 (retroactive across installments),
C-1026,"Culpepper, Bianca",HOH,Active,250649.69,62511.88,1.1,64624.84,58162.356,68763.068,58162.36,90% current,38132.25,28755.47,yes,0.0,14540.59,0.0,0.0,14540.59,0.0,0.0,14540.59,0.0,0.0,14540.59,0.0,0.0,0.0,0.0,0.0,none needed,
C-1027,"Silvestri, Dale",MFJ,Active,202470.1,52263.0,1.1,47541.46,42787.314,57489.3,42787.31,90% current,0,0,no,0.0,10696.83,0.0,127.19,10696.83,0.0,105.61,10696.83,1406.43,57.18,10696.83,10696.83,184.63,12103.25,237.12,474.61,Q4 estimate only; Q1-Q3 exposure not curable,
C-1028,"Kowalczyk, Renata",MFJ,Active,353919.64,61801.66,1.1,80130.35,72117.315,67981.82600000002,67981.83,prior year,80670.24,60657.18,yes,0.0,16995.46,0.0,0.0,16995.46,0.0,0.0,16995.46,0.0,0.0,16995.46,0.0,0.0,0.0,0.0,0.0,none needed,REVIEW_projection_is_stale;NO_PENALTY_under_1000_de_minimis
C-1029,"Nakamura, Amara",MFJ,Active,178267.1,41598.4,1.1,51567.59,46410.831,45758.240000000005,45758.24,prior year,51651.6,38842.69,yes,0.0,11439.56,0.0,0.0,11439.56,0.0,0.0,11439.56,0.0,0.0,11439.56,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1030,"Lindqvist, Franklin",Single,Active,153400.0,36900.0,1.1,68400.0,61560.0,40590.0,40590.0,prior year,5500.0,4100.0,yes,0.0,10147.5,0.0,4.43,10147.5,0.0,13.0,10147.5,1117.5,45.43,10147.5,8772.5,151.42,9890.0,20.86,214.28,increase withholding before 12/31 (retroactive across installments),
C-1031,"Nascimento, Roland",MFJ,Active,190019.98,43869.45,1.1,53257.06,47931.354,48256.395000000004,47931.35,90% current,54819.77,41224.49,yes,0.0,11982.84,0.0,0.0,11982.84,0.0,0.0,11982.84,0.0,0.0,11982.84,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1032,"Aliyev, Emmett",Single,Active,94907.32,16905.38,1.0,15155.74,13640.166,16905.38,13640.17,90% current,10312.28,7776.48,yes,0.0,3410.04,0.0,0.0,3410.04,0.0,0.0,3410.04,0.0,0.0,3410.04,0.0,0.0,0.0,0.0,0.0,none needed,
C-1033,"Fairbanks, Hollis",Single,Active,,,1.0,51203.88,46083.492,,46083.49,90% current,0,0,no,0.0,11520.87,0.0,188.8,11520.87,5760.39,435.27,11520.87,11520.87,468.41,11520.87,11520.87,198.85,28802.13,442.9,1291.33,Q4 estimate only; Q1-Q3 exposure not curable,NO_PRIOR_YEAR_only_90pct_prong_available
C-1034,"Hollingsworth, Otis",MFJ,Active,78035.76,18129.3,1.0,18802.75,16922.475000000002,18129.3,16922.48,90% current,0,0,no,0.0,4230.62,0.0,0.0,4230.62,0.0,0.0,4230.62,0.0,0.0,4230.62,0.0,0.0,0.0,0.0,0.0,none needed,
C-1035,"Cabrera, Curtis",Single,Active,175579.72,40613.04,1.1,43882.95,39494.655,44674.344000000005,39494.65,90% current,0,0,no,0.0,9873.66,0.0,117.4,9873.66,0.0,0.0,9873.66,0.0,0.0,9873.66,7769.65,134.11,7769.65,117.4,251.51,Q4 estimate only; Q1-Q3 exposure not curable,
C-1036,"Strand, Barrett",MFJ,Active,209037.36,41385.0,1.1,45360.22,40824.198000000004,45523.50000000001,40824.2,90% current,55216.41,41515.77,yes,0.0,10206.05,0.0,0.0,10206.05,0.0,0.0,10206.05,0.0,0.0,10206.05,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1037,"Ferreira, Lorraine",Single,Active,183984.54,34137.43,1.1,32640.6,29376.54,37551.173,29376.54,90% current,20823.83,15703.22,yes,0.0,7344.14,0.0,0.0,7344.14,0.0,0.0,7344.14,0.0,0.0,7344.14,0.0,0.0,0.0,0.0,0.0,none needed,
C-1038,"Gallardo, Delphine",MFJ,Active,354280.09,85452.34,1.1,94116.72,84705.04800000001,93997.57400000001,84705.05,90% current,0,0,no,0.0,21176.26,0.0,4.06,21176.26,0.0,0.0,21176.26,0.0,0.0,21176.26,18644.06,321.8,18644.06,4.06,325.86,Q4 estimate only; Q1-Q3 exposure not curable,
C-1039,"Bouchard, Beatriz",HOH,Active,124026.99,22946.58,1.0,24853.02,22367.718,22946.58,22367.72,90% current,0,0,no,0.0,5591.93,0.0,0.0,5591.93,0.0,15.91,5591.93,0.0,12.02,5591.93,4004.23,69.11,4004.23,27.93,97.05,Q4 estimate only; Q1-Q3 exposure not curable,
C-1040,"Trumbull, Priya",MFJ,Active - estate,210238.67,49123.49,1.1,26087.74,23478.966,54035.839,23478.97,90% current,17858.94,13539.87,yes,0.0,5869.74,0.0,0.0,5869.74,0.0,0.0,5869.74,0.0,0.0,5869.74,196.33,3.39,196.33,0.0,3.39,increase withholding before 12/31 (retroactive across installments),REVIEW_deceased_estate_special_handling
C-1041,"Iyengar, Rafael",Single,Active,281206.02,75478.17,1.1,17102.62,15392.358,83025.98700000001,15392.36,90% current,0,0,no,0.0,3848.09,0.0,0.0,3848.09,0.0,0.0,3848.09,0.0,0.0,3848.09,0.0,0.0,0.0,0.0,0.0,none needed,
C-1042,"Mwangi, Malik",MFJ,Active,142628.34,21397.55,1.0,23151.98,20836.782,21397.55,20836.78,90% current,22681.52,15488.3,yes,0.0,5209.2,0.0,0.0,5209.2,0.0,0.0,5209.2,0.0,0.0,5209.2,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1043,"Ashworth, Desmond",MFJ,Active,392622.29,75813.92,1.1,71272.43,64145.187,83395.312,64145.19,90% current,75546.88,56660.16,yes,0.0,16036.3,0.0,0.0,16036.3,0.0,0.0,16036.3,0.0,0.0,16036.3,0.0,0.0,0.0,0.0,0.0,none needed,NO_PENALTY_under_1000_de_minimis
C-1044,"Blackwood, Thandiwe",MFJ,Active,310351.71,75803.07,1.1,86113.11,77501.799,83383.37700000001,77501.8,90% current,46239.87,34869.41,yes,0.0,19375.45,0.0,0.0,19375.45,0.0,0.0,19375.45,0.0,0.0,19375.45,0.0,0.0,0.0,0.0,0.0,none needed,
C-1045,"Bhattacharya, Lyle",HOH,Active,302093.89,68274.13,1.1,80337.15,72303.435,75101.543,72303.43,90% current,0,0,no,0.0,18075.86,0.0,6.93,18075.86,0.0,0.0,18075.86,0.0,5.15,18075.86,11108.87,191.74,11108.87,12.08,203.83,Q4 estimate only; Q1-Q3 exposure not curable,
C-1046,"Brennan, Alonzo",MFJ,Active,112242.66,20348.0,1.0,20578.94,18521.046,20348.0,18521.05,90% current,0,0,no,0.0,4630.26,0.0,1.78,4630.26,0.0,0.0,4630.26,0.0,0.0,4630.26,2508.58,43.3,2508.58,1.78,45.07,Q4 estimate only; Q1-Q3 exposure not curable,
C-1047,"Vandenberg, Fiona",MFJ,Active,203801.65,41724.41,1.1,57400.0,51660.0,45896.85100000001,45896.85,prior year,38700.0,29000.0,yes,0.0,11474.21,1799.21,125.94,11474.21,1799.21,104.55,11474.21,1799.21,73.15,11474.21,1799.21,31.05,7196.85,100.76,334.7,increase withholding before 12/31 (retroactive across installments),
